Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
..,com.Group11.soulfulplates.models,Order,getStore,3,1,0,70,0,,
..,com.Group11.soulfulplates.models,Order,setStore,3,1,1,74,0,,
..,com.Group11.soulfulplates.models,Order,getInstructions,3,1,0,78,0,,
..,com.Group11.soulfulplates.models,Order,setInstructions,3,1,1,82,0,,
..,com.Group11.soulfulplates.models,Order,getCartItems,3,1,0,86,0,,
..,com.Group11.soulfulplates.models,Order,setCartItems,3,1,1,90,0,,
..,com.Group11.soulfulplates.models,Order,getStatus,3,1,0,94,0,,
..,com.Group11.soulfulplates.models,Order,setStatus,3,1,1,98,0,,
..,com.Group11.soulfulplates.models,Order,getCreatedAt,3,1,0,102,0,,
..,com.Group11.soulfulplates.models,Order,setCreatedAt,3,1,1,106,0,,
..,com.Group11.soulfulplates.models,Order,getUpdatedAt,3,1,0,110,0,,
..,com.Group11.soulfulplates.models,Order,setUpdatedAt,3,1,1,114,0,,
..,com.Group11.soulfulplates.models,Order,getRating,3,1,0,118,0,,
..,com.Group11.soulfulplates.models,Order,setRating,3,1,1,122,0,,
..,com.Group11.soulfulplates.models,Order,toString,3,1,0,126,0,com.Group11.soulfulplates.models.Rating,com.Group11.soulfulplates.models.Rating; com.Group11.soulfulplates.models.Store
..,com.Group11.soulfulplates.models,Payment,getPaymentId,3,1,0,51,0,,
..,com.Group11.soulfulplates.models,Payment,setPaymentId,3,1,1,55,0,,
..,com.Group11.soulfulplates.models,Payment,getTransaction,3,1,0,59,0,,
..,com.Group11.soulfulplates.models,Payment,setTransaction,3,1,1,63,0,,
..,com.Group11.soulfulplates.models,Payment,getOrder,3,1,0,67,0,,
..,com.Group11.soulfulplates.models,Payment,setOrder,3,1,1,71,0,,
..,com.Group11.soulfulplates.models,Payment,getAmount,3,1,0,75,0,,
..,com.Group11.soulfulplates.models,Payment,setAmount,3,1,1,79,0,,
..,com.Group11.soulfulplates.models,Payment,getStatus,3,1,0,83,0,,
..,com.Group11.soulfulplates.models,Payment,setStatus,3,1,1,87,0,,
..,com.Group11.soulfulplates.models,Payment,getStore,3,1,0,91,0,,
..,com.Group11.soulfulplates.models,Payment,setStore,3,1,1,95,0,,
..,com.Group11.soulfulplates.models,Payment,getCreatedAt,3,1,0,99,0,,
..,com.Group11.soulfulplates.models,Payment,setCreatedAt,3,1,1,103,0,,
..,com.Group11.soulfulplates.models,Payment,getUpdatedAt,3,1,0,107,0,,
..,com.Group11.soulfulplates.models,Payment,setUpdatedAt,3,1,1,111,0,,
..,com.Group11.soulfulplates.models,Payment,toString,3,1,0,115,0,,
..,com.Group11.soulfulplates.models,Rating,Rating,2,1,0,41,0,,
..,com.Group11.soulfulplates.models,Rating,getRatingId,3,1,0,47,0,,
..,com.Group11.soulfulplates.models,Rating,setRatingId,3,1,1,51,0,,
..,com.Group11.soulfulplates.models,Rating,getRating,3,1,0,55,0,,
..,com.Group11.soulfulplates.models,Rating,setRating,3,1,1,59,0,,
..,com.Group11.soulfulplates.models,Rating,getFeedback,3,1,0,63,0,,
..,com.Group11.soulfulplates.models,Rating,setFeedback,3,1,1,67,0,,
..,com.Group11.soulfulplates.models,Rating,getStore,3,1,0,71,0,,
..,com.Group11.soulfulplates.models,Rating,setStore,3,1,1,75,0,,
..,com.Group11.soulfulplates.models,Rating,getCreatedAt,3,1,0,79,0,,
..,com.Group11.soulfulplates.models,Rating,setCreatedAt,3,1,1,83,0,,
..,com.Group11.soulfulplates.models,Rating,getUpdatedAt,3,1,0,87,0,,
..,com.Group11.soulfulplates.models,Rating,setUpdatedAt,3,1,1,91,0,,
..,com.Group11.soulfulplates.models,Rating,toString,3,1,0,95,0,com.Group11.soulfulplates.models.Store,com.Group11.soulfulplates.models.Store
..,com.Group11.soulfulplates.models,Role,Role,2,1,0,19,0,,
..,com.Group11.soulfulplates.models,Role,Role,3,1,1,22,0,,
..,com.Group11.soulfulplates.models,Store,getStoreId,3,1,0,44,0,,
..,com.Group11.soulfulplates.models,Store,setStoreId,3,1,1,48,0,,
..,com.Group11.soulfulplates.models,Store,getStoreName,3,1,0,52,0,,
..,com.Group11.soulfulplates.models,Store,setStoreName,3,1,1,56,0,,
..,com.Group11.soulfulplates.models,Store,getStoreEmail,3,1,0,60,0,,
..,com.Group11.soulfulplates.models,Store,setStoreEmail,3,1,1,64,0,,
..,com.Group11.soulfulplates.models,Store,getContactNumber,3,1,0,68,0,,
..,com.Group11.soulfulplates.models,Store,setContactNumber,3,1,1,72,0,,
..,com.Group11.soulfulplates.models,Store,getUser,3,1,0,76,0,,
..,com.Group11.soulfulplates.models,Store,setUser,3,1,1,80,0,,
..,com.Group11.soulfulplates.models,Store,getStoreDescription,3,1,0,84,0,,
..,com.Group11.soulfulplates.models,Store,setStoreDescription,3,1,1,88,0,,
..,com.Group11.soulfulplates.models,Store,toString,3,1,0,92,0,,
..,com.Group11.soulfulplates.models,SubCategory,SubCategory,2,1,0,24,0,,
..,com.Group11.soulfulplates.models,SubCategory,SubCategory,5,1,3,26,0,,
..,com.Group11.soulfulplates.models,SubCategory,getSubcategoryId,3,1,0,33,0,,
..,com.Group11.soulfulplates.models,SubCategory,setSubcategoryId,3,1,1,37,0,,
..,com.Group11.soulfulplates.models,SubCategory,getSubcategoryName,3,1,0,41,0,,
..,com.Group11.soulfulplates.models,SubCategory,setSubcategoryName,3,1,1,45,0,,
..,com.Group11.soulfulplates.models,SubCategory,getCategory,3,1,0,49,0,,
..,com.Group11.soulfulplates.models,SubCategory,setCategory,3,1,1,53,0,,
..,com.Group11.soulfulplates.models,SubCategory,getStoreId,3,1,0,57,0,,
..,com.Group11.soulfulplates.models,SubCategory,setStoreId,3,1,1,61,0,,
..,com.Group11.soulfulplates.models,Transaction,getTransactionId,3,1,0,46,0,,
..,com.Group11.soulfulplates.models,Transaction,setTransactionId,3,1,1,50,0,,
..,com.Group11.soulfulplates.models,Transaction,getUser,3,1,0,54,0,,
..,com.Group11.soulfulplates.models,Transaction,setUser,3,1,1,58,0,,
..,com.Group11.soulfulplates.models,Transaction,getCardNumber,3,1,0,62,0,,
..,com.Group11.soulfulplates.models,Transaction,setCardNumber,3,1,1,66,0,,
..,com.Group11.soulfulplates.models,Transaction,getCardExpiry,3,1,0,70,0,,
..,com.Group11.soulfulplates.models,Transaction,setCardExpiry,3,1,1,74,0,,
..,com.Group11.soulfulplates.models,Transaction,getCvv,3,1,0,78,0,,
..,com.Group11.soulfulplates.models,Transaction,setCvv,3,1,1,82,0,,
..,com.Group11.soulfulplates.models,Transaction,getStatus,3,1,0,86,0,,
..,com.Group11.soulfulplates.models,Transaction,setStatus,3,1,1,90,0,,
..,com.Group11.soulfulplates.models,Transaction,getCreatedAt,3,1,0,94,0,,
..,com.Group11.soulfulplates.models,Transaction,setCreatedAt,3,1,1,98,0,,
..,com.Group11.soulfulplates.models,Transaction,getUpdatedAt,3,1,0,102,0,,
..,com.Group11.soulfulplates.models,Transaction,setUpdatedAt,3,1,1,106,0,,
..,com.Group11.soulfulplates.models,Transaction,toString,3,1,0,110,0,,
..,com.Group11.soulfulplates.models,User,User,2,1,0,72,0,,
..,com.Group11.soulfulplates.models,User,User,7,1,5,75,0,,
..,com.Group11.soulfulplates.models,WishlistItem,WishlistItem,2,1,0,26,0,,
..,com.Group11.soulfulplates.models,WishlistItem,getWishlistItemId,3,1,0,30,0,,
..,com.Group11.soulfulplates.models,WishlistItem,setWishlistItemId,3,1,1,34,0,,
..,com.Group11.soulfulplates.models,WishlistItem,getWishlist,3,1,0,38,0,,
..,com.Group11.soulfulplates.models,WishlistItem,setWishlist,3,1,1,42,0,,
..,com.Group11.soulfulplates.models,WishlistItem,getMenuItem,3,1,0,46,0,,
..,com.Group11.soulfulplates.models,WishlistItem,setMenuItem,3,1,1,50,0,,
..,com.Group11.soulfulplates.models,WishlistItem,getAddedDate,3,1,0,54,0,,
..,com.Group11.soulfulplates.models,WishlistItem,setAddedDate,3,1,1,58,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,CartItemDto,2,1,0,9,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,CartItemDto,5,1,3,11,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,getMenuItemId,3,1,0,18,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,setMenuItemId,3,1,1,22,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,getQuantity,3,1,0,26,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,setQuantity,3,1,1,30,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,getNotes,3,1,0,34,0,,
..,com.Group11.soulfulplates.payload.request,CartItemDto,setNotes,3,1,1,38,0,,
..,com.Group11.soulfulplates.payload.request,CategoryRequest,getCategoryName,3,1,0,6,0,,
..,com.Group11.soulfulplates.payload.request,CategoryRequest,setCategoryName,3,1,1,10,0,,
..,com.Group11.soulfulplates.payload.request,CategoryRequest,getStoreId,3,1,0,14,0,,
..,com.Group11.soulfulplates.payload.request,CategoryRequest,setStoreId,3,1,1,18,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,CreateCartItemRequest,2,1,0,12,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,CreateCartItemRequest,6,1,4,15,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,getCartId,3,1,0,22,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,setCartId,3,1,1,26,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,getMenuItemId,3,1,0,30,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,setMenuItemId,3,1,1,34,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,getQuantity,3,1,0,38,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,setQuantity,3,1,1,42,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,getNotes,3,1,0,46,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,setNotes,3,1,1,50,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,CreateCartRequest,2,1,0,10,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,CreateCartRequest,4,1,2,13,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,getUserId,3,1,0,18,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,setUserId,3,1,1,22,0,,
